,TIME_STAMP,song_ID,song_Name,artist,album,album_name,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
16,2023-06-13T09:57:29.271Z,2qZWAOE525EyWOavJ0fZfG,Trust,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,17,False,0.318,0.641,-8.556,0.0574,0.0548,0.00395,0.309,0.064,134.863
17,2023-06-13T09:36:33.562Z,3HD05YfZS6L8ZZD0Gl47Hq,Divide & Conquer,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,21,False,0.639,0.587,-6.264,0.0416,0.00477,0.911,0.159,0.344,145.062
18,2023-06-13T09:32:50.317Z,63PEsIWyy3QgiPy4u5I9pG,Marijuana,Chrome Sparks,2SDRefKHEIs8bWDACXPuVr,Sparks,58,False,0.697,0.655,-9.781,0.15,0.0626,0.774,0.353,0.415,86.969
19,2023-06-13T09:29:48.613Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False,0.52,0.531,-9.296,0.0331,0.177,0.00252,0.0677,0.145,144.093
20,2023-06-13T09:28:09.452Z,3hICiYv3ttunfwawTUYu2O,To be with Sota,RADWIMPS,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),47,False,0.293,0.153,-15.434,0.0326,0.941,0.92,0.183,0.0511,59.961
21,2023-06-12T23:27:32.567Z,5W7XShf7rQwwsmg5Tfi1QG,Aftermath,Kazuma Jinnouchi,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),44,False,0.325,0.354,-10.399,0.0311,0.811,0.549,0.396,0.182,151.368
22,2023-06-12T23:25:52.618Z,4IP1rM2sH1vwPVfPDLu4TI,Sky Over Tokyo,RADWIMPS,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),56,False,0.31,0.556,-10.846,0.042,0.544,0.0523,0.336,0.0968,113.846
23,2023-06-12T23:21:41.648Z,16WSFIgiBLm8y0FZIYjgpS,Adieu,What So Not,0UzepMNSDU0uLvV5TpmkbZ,Divide & Conquer - EP,41,False,0.52,0.531,-9.296,0.0331,0.177,0.00252,0.0677,0.145,144.093
24,2023-06-12T22:33:46.673Z,5W7XShf7rQwwsmg5Tfi1QG,Aftermath,Kazuma Jinnouchi,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),44,False,0.325,0.354,-10.399,0.0311,0.811,0.549,0.396,0.182,151.368
25,2023-06-12T22:32:06.732Z,4IP1rM2sH1vwPVfPDLu4TI,Sky Over Tokyo,RADWIMPS,6Ar5HxNWXtvraqs7FI7bYq,Suzume (Motion Picture Soundtrack),56,False,0.31,0.556,-10.846,0.042,0.544,0.0523,0.336,0.0968,113.846
26,2023-06-12T18:28:54.927Z,6k8FotzHW1yOvtOhyVfHqy,Rocket,Chrome Sparks,5Y0yPA0zZetcpimqsegK1i,Chrome Sparks,34,False,0.489,0.805,-10.482,0.037,0.752,0.877,0.392,0.216,119.92
